sample_index,domain,scene_id,scan_id,image_relpath,input_size,target_height,target_width,valid_pixel_count,boundary_pixel_count,weight_sum,base_primary_error_sum,primary_error_sum,primary_utility_sum,base_absrel_error_sum,absrel_error_sum,absrel_utility_sum,metric_scale,forward_milliseconds
6,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_240_000.png,742,742,994,782104,78210,1094944.0,1269711.9965333184,932855.7623974645,336856.23413585394,860272.3519046708,593286.2600787685,266986.09182590235,0.06591297530980732,50.269247964024544
6,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_240_000.png,798,798,1064,782104,78210,1094944.0,1269711.9965333184,963462.5443108417,306249.4522224767,860272.3519046708,612963.3432624082,247309.00864226266,0.06577131383690943,63.43137938529253
6,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_240_000.png,854,854,1134,782104,78210,1094944.0,1269711.9965333184,936964.0527495533,332747.9437837651,860272.3519046708,593613.4742203248,266658.87768434605,0.06491211712438173,83.17517675459385
6,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_240_000.png,910,910,1218,782104,78210,1094944.0,1269711.9965333184,833939.7306508012,435772.2658825172,860272.3519046708,523653.4786560281,336618.8732486427,0.06541166486197934,96.95555362850428
6,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_240_000.png,966,966,1288,782104,78210,1094944.0,1269711.9965333184,836701.0316983514,433010.96483496705,860272.3519046708,515202.7077300631,345069.6441746077,0.06516142821988799,114.63976837694645
6,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_240_000.png,1022,1022,1358,782104,78210,1094944.0,1269711.9965333184,827421.8411927598,442290.1553405586,860272.3519046708,512856.60528817604,347415.7466164948,0.06449581223540661,146.6916473582387
7,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_250_030.png,518,518,686,785137,78513,1099189.0,283964.8581877496,283964.8581877496,0.0,176580.3220598856,176580.3220598856,0.0,0.049062722807004674,22.908303886651993
7,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_250_030.png,574,574,770,785137,78513,1099189.0,283964.8581877496,291293.72453244345,-7328.8663446938735,176580.3220598856,178380.54674397933,-1800.2246840937296,0.047399223088121424,24.967252276837826
7,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_250_030.png,630,630,840,785137,78513,1099189.0,283964.8581877496,286409.1715485519,-2444.3133608023054,176580.3220598856,184236.25991733177,-7655.937857446173,0.047087869825070676,38.55697065591812
7,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_250_030.png,686,686,910,785137,78513,1099189.0,283964.8581877496,313093.7114790868,-29128.853291337204,176580.3220598856,193964.9877607093,-17384.66570082371,0.04629245335845928,45.02194467931986
7,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_250_030.png,742,742,994,785137,78513,1099189.0,283964.8581877496,315592.0850084529,-31627.226820703305,176580.3220598856,193889.58347039766,-17309.26141051206,0.04541394888572837,53.38657647371292
7,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_250_030.png,798,798,1064,785137,78513,1099189.0,283964.8581877496,302290.8331830435,-18325.974995293946,176580.3220598856,190783.23888387473,-14202.91682398913,0.04516080047404051,62.95797787606716
7,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_250_030.png,854,854,1134,785137,78513,1099189.0,283964.8581877496,301539.5958782444,-17574.737690494803,176580.3220598856,184419.87674734206,-7839.554687456461,0.04224936272135218,83.49104318767786
7,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_250_030.png,910,910,1218,785137,78513,1099189.0,283964.8581877496,309122.8097175277,-25157.951529778133,176580.3220598856,188729.83479182568,-12149.512731940078,0.04245214065518222,94.95683945715427
7,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_250_030.png,966,966,1288,785137,78513,1099189.0,283964.8581877496,302718.655813857,-18753.797626107407,176580.3220598856,194648.6261413588,-18068.30408147321,0.042296787427805016,116.74393340945244
7,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_250_030.png,1022,1022,1358,785137,78513,1099189.0,283964.8581877496,287620.4414321725,-3655.5832444229163,176580.3220598856,176449.36881423823,130.95324564736802,0.041748964913662166,151.62088256329298
8,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_300_010.png,518,518,686,783925,78394,1097501.0,788962.5173845686,788962.5173845686,0.0,595816.3798657648,595816.3798657648,0.0,0.07839342771859664,34.2860221862793
8,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_300_010.png,574,574,770,783925,78394,1097501.0,788962.5173845686,795728.5461416113,-6766.028757042717,595816.3798657648,601631.6233627965,-5815.243497031741,0.07548040176288984,24.942128919065
8,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_300_010.png,630,630,840,783925,78394,1097501.0,788962.5173845686,792236.71183782,-3274.1944532514317,595816.3798657648,593404.888273166,2411.4915925987298,0.07041415534768017,38.62887620925903
