sample_index,domain,scene_id,scan_id,budget_count,raw_topk_region_ids,normalized_topk_region_ids,top_k_set_jaccard,kendall_tau_b,selected_set_disagreement,zero_weight_region_count,base_primary_error_sum,raw_selected_utility_sum,normalized_selected_raw_utility_sum
42,indoors,scene_00020,indoors/scene_00020/scan_00187,1,5,5,1.0,0.8484848484848485,0.0,0,466177.92562071234,717.4415178849774,717.4415178849774
42,indoors,scene_00020,indoors/scene_00020/scan_00187,3,5;6;10,5;6;7,0.5,0.8484848484848485,1.0,0,466177.92562071234,1454.390066284597,1448.460781703225
42,indoors,scene_00020,indoors/scene_00020/scan_00187,6,5;6;10;7;4;8,5;6;7;4;10;3,0.7142857142857143,0.8484848484848485,1.0,0,466177.92562071234,1682.943969312074,1681.3049581716696
43,indoors,scene_00020,indoors/scene_00020/scan_00187,1,8,8,1.0,1.0,0.0,0,1249025.9683994998,30.672094874379738,30.672094874379738
43,indoors,scene_00020,indoors/scene_00020/scan_00187,3,8;0;3,8;0;3,1.0,1.0,0.0,0,1249025.9683994998,60.33318637542869,60.33318637542869
43,indoors,scene_00020,indoors/scene_00020/scan_00187,6,8;0;3;4;2;11,8;0;3;4;2;11,1.0,1.0,0.0,0,1249025.9683994998,80.89153570807072,80.89153570807072
44,indoors,scene_00020,indoors/scene_00020/scan_00187,1,0,0,1.0,0.9393939393939394,0.0,0,535108.1868300906,659.4604130195867,659.4604130195867
44,indoors,scene_00020,indoors/scene_00020/scan_00187,3,0;5;4,0;5;4,1.0,0.9393939393939394,0.0,0,535108.1868300906,944.7014839712134,944.7014839712134
44,indoors,scene_00020,indoors/scene_00020/scan_00187,6,0;5;4;9;1;8,0;5;4;9;1;8,1.0,0.9393939393939394,0.0,0,535108.1868300906,566.3175025603243,566.3175025603243
45,indoors,scene_00020,indoors/scene_00020/scan_00187,1,7,7,1.0,1.0,0.0,0,289017.5283532424,5373.548019952358,5373.548019952358
45,indoors,scene_00020,indoors/scene_00020/scan_00187,3,7;3;11,7;3;11,1.0,1.0,0.0,0,289017.5283532424,8159.939098226733,8159.939098226733
45,indoors,scene_00020,indoors/scene_00020/scan_00187,6,7;3;11;5;9;10,7;3;11;5;9;10,1.0,1.0,0.0,0,289017.5283532424,8684.467686716798,8684.467686716798
46,indoors,scene_00020,indoors/scene_00020/scan_00187,1,1,7,0.0,0.9090909090909091,1.0,0,229661.5195472822,836.3865898724532,676.4244878984572
46,indoors,scene_00020,indoors/scene_00020/scan_00187,3,1;7;8,7;1;8,1.0,0.9090909090909091,0.0,0,229661.5195472822,1779.705572751607,1779.705572751607
46,indoors,scene_00020,indoors/scene_00020/scan_00187,6,1;7;8;0;10;5,7;1;8;10;5;0,1.0,0.9090909090909091,0.0,0,229661.5195472822,2402.5740492148507,2402.5740492148507
47,indoors,scene_00020,indoors/scene_00020/scan_00187,1,2,11,0.0,0.8787878787878788,1.0,0,297177.03417633404,716.0394085662858,709.9186358379088
47,indoors,scene_00020,indoors/scene_00020/scan_00187,3,2;11;9,11;2;9,1.0,0.8787878787878788,0.0,0,297177.03417633404,1844.359253706455,1844.359253706455
47,indoors,scene_00020,indoors/scene_00020/scan_00187,6,2;11;9;7;0;8,11;2;9;7;1;0,0.7142857142857143,0.8787878787878788,1.0,0,297177.03417633404,2397.6211928634566,2396.218690274799
48,indoors,scene_00020,indoors/scene_00020/scan_00187,1,6,6,1.0,0.9393939393939394,0.0,0,315005.44815053814,893.7169315442906,893.7169315442906
48,indoors,scene_00020,indoors/scene_00020/scan_00187,3,6;10;2,6;10;2,1.0,0.9393939393939394,0.0,0,315005.44815053814,1532.283206392443,1532.283206392443
48,indoors,scene_00020,indoors/scene_00020/scan_00187,6,6;10;2;11;1;8,6;10;2;8;11;1,1.0,0.9393939393939394,0.0,0,315005.44815053814,1899.9989662614105,1899.9989662614105
49,indoors,scene_00020,indoors/scene_00020/scan_00187,1,10,10,1.0,1.0,0.0,0,501967.9069922465,62.49310357873702,62.49310357873702
49,indoors,scene_00020,indoors/scene_00020/scan_00187,3,10;3;4,10;3;4,1.0,1.0,0.0,0,501967.9069922465,152.75986516449413,152.75986516449413
49,indoors,scene_00020,indoors/scene_00020/scan_00187,6,10;3;4;0;2;1,10;3;4;0;2;1,1.0,1.0,0.0,0,501967.9069922465,183.09765328950314,183.09765328950314
50,indoors,scene_00021,indoors/scene_00021/scan_00188,1,5,5,1.0,0.9393939393939394,0.0,0,982260.1200344412,1949.260867075246,1949.260867075246
50,indoors,scene_00021,indoors/scene_00021/scan_00188,3,5;11;3,5;11;3,1.0,0.9393939393939394,0.0,0,982260.1200344412,1960.8784848244866,1960.8784848244866
50,indoors,scene_00021,indoors/scene_00021/scan_00188,6,5;11;3;7;2;9,5;11;3;7;9;2,1.0,0.9393939393939394,0.0,0,982260.1200344412,1895.166332724751,1895.166332724751
51,indoors,scene_00021,indoors/scene_00021/scan_00188,1,0,0,1.0,1.0,0.0,0,795778.4195440974,2374.436464792476,2374.436464792476
51,indoors,scene_00021,indoors/scene_00021/scan_00188,3,0;10;3,0;10;3,1.0,1.0,0.0,0,795778.4195440974,3199.944790174386,3199.944790174386
51,indoors,scene_00021,indoors/scene_00021/scan_00188,6,0;10;3;7;2;6,0;10;3;7;2;6,1.0,1.0,0.0,0,795778.4195440974,3711.0983981446384,3711.0983981446384
52,indoors,scene_00021,indoors/scene_00021/scan_00188,1,2,2,1.0,0.9696969696969697,0.0,0,939374.0436092353,19828.433434545124,19828.433434545124
