sample_index,domain,scene_id,scan_id,image_relpath,input_size,status,target_height,target_width,valid_pixel_count,boundary_pixel_count,weight_sum,base_primary_error_sum,primary_error_sum,primary_utility_sum,base_absrel_error_sum,absrel_error_sum,absrel_utility_sum,metric_scale,forward_milliseconds
119,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_280_030.png,1134,OK,1134,1512,498788,49708,697620.0,8009431.283547761,8559408.106124457,-549976.822576696,2361856.9413916282,2573687.3639753424,-211830.42258371413,0.020472521216709862,196.69007789343596
119,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_280_030.png,1190,OK,1190,1582,498788,49708,697620.0,8009431.283547761,8679585.108744055,-670153.8251962941,2361856.9413916282,2623936.87003883,-262079.92864720197,0.01981079014877089,242.89975129067898
119,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_280_030.png,1246,OK,1246,1666,498788,49708,697620.0,8009431.283547761,8813668.504864197,-804237.2213164363,2361856.9413916282,2678504.9902054905,-316648.04881386226,0.019578132179410252,272.1444396302104
119,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_280_030.png,1302,OK,1302,1736,498788,49708,697620.0,8009431.283547761,8951666.66487636,-942235.3813285995,2361856.9413916282,2726016.1494271606,-364159.2080355324,0.019575304519990386,340.7384166494012
119,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_280_030.png,1358,OK,1358,1806,498788,49708,697620.0,8009431.283547761,9075620.51733995,-1066189.2337921895,2361856.9413916282,2774253.51482024,-412396.57342861174,0.019328672618947083,381.6488888114691
119,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_280_030.png,1414,OK,1414,1890,498788,49708,697620.0,8009431.283547761,9006036.167520778,-996604.8839730173,2361856.9413916282,2773631.0105289184,-411774.0691372901,0.019575142827794663,428.14045026898384
119,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_280_030.png,1470,OK,1470,1960,498788,49708,697620.0,8009431.283547761,9015925.47925594,-1006494.1957081798,2361856.9413916282,2766827.393260955,-404970.45186932664,0.01950982942019136,511.13011967390776
119,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_280_030.png,1526,OK,1526,2030,498788,49708,697620.0,8009431.283547761,9346555.526422113,-1337124.2428743523,2361856.9413916282,2891015.659578026,-529158.7181863976,0.018374228288100522,573.8842897117138
119,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_280_030.png,1582,OK,1582,2114,498788,49708,697620.0,8009431.283547761,9290490.704607284,-1281059.4210595228,2361856.9413916282,2877261.3353719725,-515404.3939803443,0.018831473497408154,673.3629470691085
119,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_280_030.png,1638,OK,1638,2184,498788,49708,697620.0,8009431.283547761,9435867.8703789,-1426436.5868311394,2361856.9413916282,2930600.294460045,-568743.3530684169,0.018823521862969664,746.3596099987626
119,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_280_030.png,1694,OK,1694,2254,498788,49708,697620.0,8009431.283547761,9613304.749068739,-1603873.465520978,2361856.9413916282,2989079.6794613535,-627222.7380697252,0.01807413873538956,877.1312264725566
119,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_280_030.png,1750,OK,1750,2338,498788,49708,697620.0,8009431.283547761,9450411.582749987,-1440980.299202226,2361856.9413916282,2939822.258592508,-577965.3172008796,0.018491674924599185,1139.8414839059114
119,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_280_030.png,1806,OK,1806,2408,498788,49708,697620.0,8009431.283547761,9529536.208086569,-1520104.924538808,2361856.9413916282,2969138.642922947,-607281.701531319,0.018167427876232534,1155.7612614706159
119,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_280_030.png,1862,OK,1862,2478,498788,49708,697620.0,8009431.283547761,9787530.615706477,-1778099.3321587164,2361856.9413916282,3040654.306769646,-678797.3653780175,0.017926080348697894,1282.307194545865
119,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_280_030.png,1918,OK,1918,2562,498788,49708,697620.0,8009431.283547761,9616295.66131189,-1606864.37776413,2361856.9413916282,3006114.0014897212,-644257.060098093,0.018417295969982535,1419.656011275947
119,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_280_030.png,1974,OK,1974,2632,498788,49708,697620.0,8009431.283547761,9961616.404519692,-1952185.1209719311,2361856.9413916282,3109959.477546986,-748102.536155358,0.017781488419278856,1621.9702661037445
119,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_280_030.png,2030,OK,2030,2702,498788,49708,697620.0,8009431.283547761,9808491.10156656,-1799059.8180187996,2361856.9413916282,3072450.914601864,-710593.9732102356,0.017838524959475157,1845.9053533151746
120,outdoor,scene_00022,outdoor/scene_00022/scan_00195,val/outdoor/scene_00022/scan_00195/00022_00195_outdoor_160_000.png,518,OK,518,686,764130,76412,1069778.0,837579.9527466715,837579.9527466715,0.0,209600.861212748,209600.861212748,0.0,0.04970097418221296,22.937137633562088
120,outdoor,scene_00022,outdoor/scene_00022/scan_00195,val/outdoor/scene_00022/scan_00195/00022_00195_outdoor_160_000.png,574,OK,574,770,764130,76412,1069778.0,837579.9527466715,945468.5839097993,-107888.63116312784,209600.861212748,234796.08359112064,-25195.22237837265,0.047427384649744726,24.893571622669697
120,outdoor,scene_00022,outdoor/scene_00022/scan_00195,val/outdoor/scene_00022/scan_00195/00022_00195_outdoor_160_000.png,630,OK,630,840,764130,76412,1069778.0,837579.9527466715,372944.5805139331,464635.3722327384,209600.861212748,112075.30245798516,97525.55875476282,0.04708791261111875,38.51093165576458
120,outdoor,scene_00022,outdoor/scene_00022/scan_00195,val/outdoor/scene_00022/scan_00195/00022_00195_outdoor_160_000.png,686,OK,686,910,764130,76412,1069778.0,837579.9527466715,949515.3749619852,-111935.42221531365,209600.861212748,233362.36071874894,-23761.499506000953,0.04678023532846332,44.914187863469124
120,outdoor,scene_00022,outdoor/scene_00022/scan_00195,val/outdoor/scene_00022/scan_00195/00022_00195_outdoor_160_000.png,742,OK,742,994,764130,76412,1069778.0,837579.9527466715,851596.45710426,-14016.504357588477,209600.861212748,213435.75644123726,-3834.895228489273,0.04626824735550618,50.221760757267475
120,outdoor,scene_00022,outdoor/scene_00022/scan_00195,val/outdoor/scene_00022/scan_00195/00022_00195_outdoor_160_000.png,798,OK,798,1064,764130,76412,1069778.0,837579.9527466715,473465.32564781874,364114.62709885277,209600.861212748,140511.34611836556,69089.51509438243,0.04574815119869918,62.77529988437891
120,outdoor,scene_00022,outdoor/scene_00022/scan_00195,val/outdoor/scene_00022/scan_00195/00022_00195_outdoor_160_000.png,854,OK,854,1134,764130,76412,1069778.0,837579.9527466715,995273.1399188068,-157693.18717213534,209600.861212748,246246.78112366237,-36645.91991091438,0.0459938159670965,83.67705438286066
120,outdoor,scene_00022,outdoor/scene_00022/scan_00195,val/outdoor/scene_00022/scan_00195/00022_00195_outdoor_160_000.png,910,OK,910,1218,764130,76412,1069778.0,837579.9527466715,1030522.180141171,-192942.22739449947,209600.861212748,257078.20113420434,-47477.339921456354,0.04634971932148615,95.45716922730207
120,outdoor,scene_00022,outdoor/scene_00022/scan_00195,val/outdoor/scene_00022/scan_00195/00022_00195_outdoor_160_000.png,966,OK,966,1288,764130,76412,1069778.0,837579.9527466715,517351.83998783666,320228.11275883485,209600.861212748,154847.9613345953,54752.899878152675,0.0452897114724422,115.95540214329958
120,outdoor,scene_00022,outdoor/scene_00022/scan_00195,val/outdoor/scene_00022/scan_00195/00022_00195_outdoor_160_000.png,1022,OK,1022,1358,764130,76412,1069778.0,837579.9527466715,964959.9751943435,-127380.02244767197,209600.861212748,242346.73613318897,-32745.874920440983,0.045105156635626205,147.40602765232325
120,outdoor,scene_00022,outdoor/scene_00022/scan_00195,val/outdoor/scene_00022/scan_00195/00022_00195_outdoor_160_000.png,1078,OK,1078,1442,764130,76412,1069778.0,837579.9527466715,987359.2916366248,-149779.33888995333,209600.861212748,250226.84948810295,-40625.98827535496,0.04490537279365707,173.2593895867467
120,outdoor,scene_00022,outdoor/scene_00022/scan_00195,val/outdoor/scene_00022/scan_00195/00022_00195_outdoor_160_000.png,1134,OK,1134,1512,764130,76412,1069778.0,837579.9527466715,587580.4148317053,249999.53791496623,209600.861212748,170602.1974429217,38998.66376982629,0.044927712383660064,196.95926364511251
120,outdoor,scene_00022,outdoor/scene_00022/scan_00195,val/outdoor/scene_00022/scan_00195/00022_00195_outdoor_160_000.png,1190,OK,1190,1582,764130,76412,1069778.0,837579.9527466715,1037303.8580938714,-199723.90534719988,209600.861212748,263493.3471280924,-53892.48591534444,0.04446726941490575,243.1155564263463
120,outdoor,scene_00022,outdoor/scene_00022/scan_00195,val/outdoor/scene_00022/scan_00195/00022_00195_outdoor_160_000.png,1246,OK,1246,1666,764130,76412,1069778.0,837579.9527466715,1011620.3928218478,-174040.4400751763,209600.861212748,256012.9873998778,-46412.12618712982,0.044556002251140134,272.1722722053528
120,outdoor,scene_00022,outdoor/scene_00022/scan_00195,val/outdoor/scene_00022/scan_00195/00022_00195_outdoor_160_000.png,1302,OK,1302,1736,764130,76412,1069778.0,837579.9527466715,627663.4835658857,209916.46918078582,209600.861212748,179753.17289235737,29847.688320390618,0.044179777491716414,339.26462661474943
120,outdoor,scene_00022,outdoor/scene_00022/scan_00195,val/outdoor/scene_00022/scan_00195/00022_00195_outdoor_160_000.png,1358,OK,1358,1806,764130,76412,1069778.0,837579.9527466715,1026887.7502827435,-189307.79753607197,209600.861212748,263755.18231927697,-54154.32110652898,0.04463506875129765,381.55937753617764
120,outdoor,scene_00022,outdoor/scene_00022/scan_00195,val/outdoor/scene_00022/scan_00195/00022_00195_outdoor_160_000.png,1414,OK,1414,1890,764130,76412,1069778.0,837579.9527466715,1074943.234083162,-237363.2813364904,209600.861212748,269858.9970882405,-60258.13587549253,0.04439629250847721,429.37266640365124
120,outdoor,scene_00022,outdoor/scene_00022/scan_00195,val/outdoor/scene_00022/scan_00195/00022_00195_outdoor_160_000.png,1470,OK,1470,1960,764130,76412,1069778.0,837579.9527466715,691544.6055164771,146035.34723019437,209600.861212748,195910.44425801764,13690.416954730346,0.043593542210781475,510.96780225634575
120,outdoor,scene_00022,outdoor/scene_00022/scan_00195,val/outdoor/scene_00022/scan_00195/00022_00195_outdoor_160_000.png,1526,OK,1526,2030,764130,76412,1069778.0,837579.9527466715,1047194.8836213126,-209614.93087464105,209600.861212748,267971.5540152042,-58370.69280245621,0.04365522506258419,572.7306976914406
120,outdoor,scene_00022,outdoor/scene_00022/scan_00195,val/outdoor/scene_00022/scan_00195/00022_00195_outdoor_160_000.png,1582,OK,1582,2114,764130,76412,1069778.0,837579.9527466715,1065074.7132089736,-227494.76046230213,209600.861212748,270850.33288228675,-61249.47166953876,0.04409011098436981,671.801601536572
120,outdoor,scene_00022,outdoor/scene_00022/scan_00195,val/outdoor/scene_00022/scan_00195/00022_00195_outdoor_160_000.png,1638,OK,1638,2184,764130,76412,1069778.0,837579.9527466715,642157.4928619505,195422.45988472097,209600.861212748,184796.37791624136,24804.48329650663,0.04378497025941379,746.6340577229857
120,outdoor,scene_00022,outdoor/scene_00022/scan_00195,val/outdoor/scene_00022/scan_00195/00022_00195_outdoor_160_000.png,1694,OK,1694,2254,764130,76412,1069778.0,837579.9527466715,1013270.3861169589,-175690.4333702874,209600.861212748,261153.6879537168,-51552.82674096883,0.0438804795047176,874.6870411559939
120,outdoor,scene_00022,outdoor/scene_00022/scan_00195,val/outdoor/scene_00022/scan_00195/00022_00195_outdoor_160_000.png,1750,OK,1750,2338,764130,76412,1069778.0,837579.9527466715,1038482.7625496655,-200902.80980299402,209600.861212748,265874.29482853273,-56273.43361578474,0.04409296015460844,1009.6582369878888
